Player,Nation_code,Age,Pos,Pos_group,Playing Time 90s,weighted_score_norm2,weighted_score_robust_z
Jeremie Boga,CIV,26.0,FW,FWD,22.2,32.97567567567568,5.428960940516234
Gabriel Jesus,BRA,26.0,FW,FWD,16.4,31.242682926829268,5.409734384233023
Brajan Gruda,GER,19.0,"MF,FW",FWD,18.2,38.87813186813187,5.304804376792946
Arnau Martinez,ESP,20.0,DF,DEF,13.8,24.71289855072464,5.283295742935691
Arnaud Nordin,FRA,25.0,"FW,MF",FWD,13.8,36.3431884057971,5.267614402148764
Granit Xhaka,SUI,30.0,MF,MID,31.3,48.83281150159745,5.257577956351686
Gonçalo Guedes,POR,26.0,"FW,MF",FWD,10.6,35.367547169811324,5.214535632497668
Matthieu Udol,FRA,27.0,DF,DEF,30.0,23.383333333333333,5.156987588770566
Benno Schmitz,GER,28.0,DF,DEF,12.8,33.579375,5.154114655541052
Valentin Gendrey,FRA,23.0,DF,DEF,33.8,24.916627218934913,5.080142079969057
Gustavo Hamer,NED,26.0,MF,MID,32.3,25.151331269349846,5.066789769158447
Thomas Delaine,FRA,31.0,"DF,MF",MID,22.7,35.75392070484582,5.051379006589389
Marcel Sabitzer,AUT,29.0,MF,MID,21.8,31.26412844036697,5.046388452797527
Marcus Thuram,FRA,25.0,FW,FWD,29.9,23.894782608695653,4.984367995493635
Aïssa Laïdouni,TUN,26.0,MF,MID,11.9,31.476134453781512,4.9700789636391525
Christopher Trimmel,AUT,36.0,DF,DEF,18.3,28.830655737704912,4.849815423671292
Tobias Kempe,GER,34.0,MF,MID,15.0,22.463333333333335,4.794483820594102
Niclas Füllkrug,GER,30.0,FW,FWD,24.6,18.755000000000003,4.758578769115581
Enzo Le Fée,FRA,23.0,MF,MID,17.0,40.452352941176464,4.727725271536848
Óliver Torres,ESP,28.0,MF,MID,18.0,41.43333333333333,4.716511632379426
Iñigo Lekue,ESP,30.0,DF,DEF,22.2,26.866576576576577,4.617387890465895
Willian,BRA,34.0,FW,FWD,22.8,38.95456140350878,4.58740648918123
Daniel Muñoz,COL,27.0,"DF,MF",MID,16.0,27.9225,4.548608896660737
Manu Sánchez,ESP,22.0,"DF,MF",MID,19.7,28.773451776649747,4.5214534757166875
Marcos Acuña,ARG,31.0,DF,DEF,14.4,25.93722222222222,4.471479079517051
Óscar Mingueza,ESP,24.0,"DF,MF",MID,33.3,34.753933933933936,4.467085133932386
Fermin López,ESP,20.0,"MF,FW",FWD,16.1,29.136956521739126,4.436367551725677
Maximilian Beier,GER,20.0,"FW,MF",FWD,26.9,26.77007434944238,4.380590925982033
Luca de la Torre,USA,25.0,MF,MID,21.7,33.8810599078341,4.376712637582392
Chris Wood,NZL,31.0,FW,FWD,20.1,16.30930348258706,4.361421224346801
Ernest Nuamah,GHA,19.0,"FW,MF",FWD,20.4,42.218235294117655,4.262379004866764
Álex Centelles,ESP,25.0,DF,DEF,10.9,27.799449541284403,4.2595338504216755
Felix Passlack,GER,25.0,DF,DEF,10.7,22.73915887850467,4.234242867224063
Stefan Posch,AUT,26.0,DF,DEF,26.8,25.977014925373133,4.1422041445760485
Khéphren Thuram,FRA,22.0,MF,MID,23.4,29.89162393162393,4.0848149994098595
Timothy Castagne,BEL,27.0,DF,DEF,29.3,24.696211604095563,4.052144686133039
Paulo Azzi,BRA,29.0,"DF,MF",MID,10.6,35.42000000000001,4.025101270849913
Daley Blind,NED,33.0,DF,DEF,33.0,25.44181818181818,3.9776042094606696
Héctor Bellerín,ESP,28.0,DF,DEF,19.0,30.691052631578945,3.9723428488513113
Matheus Cunha,BRA,24.0,"FW,MF",FWD,27.1,27.328542435424353,3.9475184488158344
Matheus Cunha,BRA,24.0,"FW,MF",FWD,27.1,27.328542435424353,3.9475184488158344
Kai Havertz,GER,24.0,"MF,FW",FWD,29.3,26.489061433447095,3.9017708447040236
Ryan Christie,SCO,28.0,MF,MID,32.3,29.242414860681116,3.8970477756891704
Pedri,ESP,20.0,"MF,FW",FWD,16.4,33.31048780487806,3.8958195938159443
Sean Longstaff,ENG,25.0,MF,MID,30.5,29.06327868852459,3.89003273939728
Sergio Arribas,ESP,21.0,"MF,FW",FWD,22.7,23.328370044052864,3.8860873783982837
Florian Sotoca,FRA,32.0,"MF,FW",FWD,28.9,34.38192041522492,3.842182840792974
Ander Herrera,ESP,33.0,MF,MID,11.4,32.95438596491228,3.8249734405472613
Matìas Soulé,ARG,20.0,"FW,MF",FWD,34.7,32.3114553314121,3.790690259857984
Melvin Bard,FRA,22.0,DF,DEF,29.5,27.5764406779661,3.6791918132426518
Fabian Nürnberger,GER,24.0,"DF,MF",MID,16.8,35.64095238095238,3.6438313822241004
Pablo Maffeo,ESP,26.0,DF,DEF,16.2,27.42530864197531,3.6204618664231054
Jordy Makengo,FRA,21.0,DF,DEF,11.4,29.709122807017547,3.6151191099163484
Yassine Kechta,MAR,21.0,MF,MID,20.5,34.30341463414634,3.5724026496635606
Grischa Prömel,GER,28.0,MF,MID,23.8,25.263445378151264,3.5612821302412847
Mario Götze,GER,31.0,MF,MID,23.0,34.18,3.5506822589076803
Toni Lato,ESP,25.0,DF,DEF,17.2,31.33651162790698,3.4543264176112705
Joe Scally,USA,20.0,DF,DEF,24.8,23.201612903225804,3.3956652583438602
Ricard Sánchez,ESP,23.0,DF,DEF,25.5,27.770980392156865,3.3600646643463623
Anthony Rouault,FRA,22.0,DF,DEF,11.2,23.277857142857147,3.344796740240546
Antonio Sánchez,ESP,26.0,MF,MID,16.1,29.352981366459623,3.3423141377198724
Álex Berenguer,ESP,28.0,FW,FWD,17.7,28.984689265536726,3.319551066424105
José Luis Morales,ESP,36.0,"FW,MF",FWD,11.6,24.891724137931035,3.2901054371289677
Hiroki Ito,JPN,24.0,DF,DEF,24.8,22.335806451612903,3.2772036816310424
Benjamin Pavard,FRA,27.0,DF,DEF,18.6,26.04516129032258,3.275614174537734
Jarrod Bowen,ENG,26.0,FW,FWD,33.5,22.692388059701493,3.271368664077485
Alberto Moreno,ESP,31.0,DF,DEF,16.5,29.266666666666662,3.1261440049653424
Mario Hermoso,ESP,28.0,DF,DEF,28.4,29.13366197183099,3.125439229702832
Marcus Pedersen,NOR,23.0,DF,DEF,17.9,27.612569832402237,3.065628498766262
Lee Kang-in,KOR,22.0,"FW,MF",FWD,16.3,38.64521472392638,3.0653825554458183
Diogo Dalot,POR,24.0,DF,DEF,35.3,24.642634560906515,3.058108061239089
Anton Stach,GER,24.0,MF,MID,25.8,28.56937984496124,3.043227915985112
Renan Lodi,BRA,25.0,DF,DEF,13.7,33.285693430656934,2.912043841666235
Arthur Theate,BEL,23.0,DF,DEF,25.5,24.52372549019608,2.8992162864774365
Alex Scott,ENG,19.0,MF,MID,11.3,29.692566371681412,2.806790764791698
Callum Hudson-Odoi,ENG,22.0,"FW,MF",FWD,20.6,34.94970873786408,2.8015699117668693
Marvin Ducksch,GER,29.0,FW,FWD,30.0,20.055,2.731848272631691
Nathan N'Goumou,FRA,23.0,"FW,MF",FWD,15.4,34.43272727272727,2.7282098181250904
Elye Wahi,FRA,20.0,FW,FWD,18.8,28.544042553191492,2.7219197262079744
Harry Toffolo,ENG,27.0,DF,DEF,16.2,16.48074074074074,2.7157622705880007
Olivier Deman,BEL,23.0,DF,DEF,15.2,23.617894736842107,2.693793448740297
Joël Veltman,NED,31.0,DF,DEF,17.6,27.81681818181818,2.670377004230226
Mikel Merino,ESP,27.0,MF,MID,27.6,32.08202898550724,2.6630523988871424
Marquinhos,BRA,29.0,DF,DEF,17.1,23.835730994152044,2.6617104119353554
Luis Javier Suárez,COL,25.0,FW,FWD,10.2,22.611568627450982,2.634069298791649
Dayot Upamecano,FRA,24.0,DF,DEF,19.6,26.751632653061225,2.6033202844004815
Gorka Guruzeta,ESP,26.0,FW,FWD,24.6,17.821341463414633,2.577678594272527
Felix Nmecha,GER,22.0,MF,MID,11.3,25.419292035398225,2.577100156529312
Vincent Sierro,SUI,27.0,MF,MID,25.1,27.873705179282865,2.5613193638073946
Dani Rodríguez,ESP,35.0,MF,MID,29.1,29.842886597938143,2.503637885270906
Jean-Philippe Mateta,FRA,26.0,FW,FWD,25.4,18.493779527559056,2.4893200319221664
Harry Maguire,ENG,30.0,DF,DEF,18.4,15.851739130434785,2.4293356320032946
Olivier Giroud,FRA,36.0,FW,FWD,26.3,14.026977186311788,2.426477966491591
Jon Guridi,ESP,28.0,MF,MID,29.8,25.203288590604025,2.418301675383108
Amir Richardson,MAR,21.0,MF,MID,15.0,28.803333333333335,2.3724318215007414
Aaron Wan-Bissaka,ENG,25.0,DF,DEF,19.8,24.561919191919195,2.3688759211746024
Joselu,ESP,33.0,FW,FWD,18.7,17.886122994652407,2.356753781665791
Domagoj Bradarić,CRO,23.0,DF,DEF,30.5,25.071311475409836,2.3459053672892707
Álvaro Morata,ESP,30.0,FW,FWD,21.2,16.488301886792453,2.333143017190884
Matthijs de Ligt,NED,23.0,DF,DEF,15.4,23.31194805194805,2.206626769872749
Iago,BRA,26.0,DF,DEF,18.0,21.71777777777778,2.1348869214798287
Rayan Aït-Nouri,ALG,22.0,"DF,MF",MID,25.9,31.23471042471043,2.1157575147217336
Rayan Aït-Nouri,ALG,22.0,"DF,MF",MID,25.9,31.23471042471043,2.1157575147217336
Iñigo Martínez,ESP,32.0,DF,DEF,14.4,27.80777777777778,2.0745759296723953
Kirian Rodríguez,ESP,27.0,MF,MID,35.7,35.86002801120448,2.0405403226800964
Angeliño,ESP,26.0,DF,DEF,12.7,25.528110236220478,2.0358300714233484
Alfonso Espino,URU,31.0,DF,DEF,27.9,26.126451612903228,2.015716933312805
Ângelo Borges,BRA,18.0,"FW,MF",FWD,12.2,36.815737704918035,1.9773683594740092
Kristian Thorstvedt,NOR,24.0,MF,MID,26.6,29.463458646616537,1.8952799904143025
Yan Couto,BRA,21.0,"DF,FW",FWD,24.9,40.15550200803214,1.8385299354180054
Aimar Oroz,ESP,21.0,MF,MID,26.0,33.01769230769231,1.7941424099709438
Philipp Köhn,SUI,25.0,GK,GK,22.0,0.0,1.7317400567994705
Iñaki Peña,ESP,24.0,GK,GK,10.0,0.0,1.7317400567994705
Jeremías Ledesma,ARG,30.0,GK,GK,33.9,0.0,1.7317400567994705
Marvin Schwäbe,GER,28.0,GK,GK,34.0,0.0,1.7317400567994705
Benoît Costil,FRA,36.0,GK,GK,13.0,0.0,1.7317400567994705
Jason Steele,ENG,32.0,GK,GK,17.0,0.0,1.7317400567994705
Janis Blaswich,GER,32.0,GK,GK,21.0,0.0,1.7317400567994705
Juan Musso,ARG,29.0,GK,GK,11.0,0.0,1.7317400567994705
Noah Atubolu,GER,21.0,GK,GK,34.0,0.0,1.7317400567994705
Anthony Lopes,POR,32.0,GK,GK,31.0,0.0,1.7317400567994705
Guillermo Ochoa,MEX,38.0,GK,GK,21.0,0.0,1.7317400567994705
Nahitan Nández,URU,27.0,"MF,DF",MID,26.0,26.416153846153843,1.6974525217752368
Julian Araujo,MEX,21.0,DF,DEF,16.2,26.598024691358024,1.643951530879868
Omar Traoré,GER,25.0,DF,DEF,27.5,25.15909090909091,1.5638547259261832
Ronald Araújo,URU,24.0,DF,DEF,22.2,18.56810810810811,1.5256147961708364
Virgil van Dijk,NED,32.0,DF,DEF,35.3,20.53830028328612,1.521753587052777
Mason Greenwood,ENG,21.0,"MF,FW",FWD,29.6,32.79675675675676,1.4635931761039533
Mohammed Kudus,GHA,22.0,"FW,MF",FWD,27.6,31.85014492753623,1.3776885540990795
Ricardo Rodríguez,SUI,30.0,DF,DEF,30.8,22.317922077922077,1.339817622500935
Alexandre Lacazette,FRA,32.0,FW,FWD,25.5,21.457058823529415,1.2940764227718582
Amine Gouiri,ALG,23.0,"FW,MF",FWD,23.0,30.540869565217392,1.2898976448285326
Pablo Fornals,ESP,27.0,"FW,MF",FWD,12.8,34.06375,1.2789502871210763
Jonas Martin,FRA,33.0,MF,MID,13.4,37.16716417910447,1.2652324925203586
Jonathan Bamba,CIV,27.0,"MF,FW",FWD,22.0,33.80363636363636,1.2530328952313663
Clément Lenglet,FRA,28.0,DF,DEF,12.8,18.396875,1.2490434829290558
Lucas,BRA,22.0,DF,DEF,17.1,24.891403508771926,1.2403614361808435
Andoni Gorosabel,ESP,26.0,DF,DEF,31.7,27.953343848580445,1.2301597012824996
Danilo Pereira,POR,31.0,DF,DEF,22.2,24.023963963963965,1.2282276049822083
Sergio Akieme,ESP,25.0,DF,DEF,18.6,20.7863440860215,1.207404540240507
Rúben Dias,POR,26.0,DF,DEF,28.4,23.626338028169016,1.1830410206804793
Aleksandar Pavlovic,GER,19.0,MF,MID,13.6,30.037058823529414,1.1572664496123135
Romain Faivre,FRA,25.0,"MF,FW",FWD,16.1,32.505341614906825,1.137148400774944
Jaume Costa,ESP,35.0,DF,DEF,18.7,30.02609625668449,1.1237612134393888
Ismaila Sarr,SEN,25.0,"FW,MF",FWD,16.1,31.348881987577638,1.1219707550386935
Arne Engels,BEL,19.0,"MF,DF",MID,15.6,27.46794871794872,1.1028771537071371
Steve Mandanda,FRA,38.0,GK,GK,34.0,-0.029411764705882353,1.055826191944245
Yann Sommer,SUI,34.0,GK,GK,34.0,-0.029411764705882353,1.055826191944245
Yvon Mvogo,SUI,29.0,GK,GK,34.0,-0.029411764705882353,1.055826191944245
Yehvann Diouf,FRA,23.0,GK,GK,34.0,-0.029411764705882353,1.055826191944245
Kevin Müller,GER,32.0,GK,GK,34.0,-0.029411764705882353,1.055826191944245
Oliver Baumann,GER,33.0,GK,GK,34.0,-0.029411764705882353,1.055826191944245
José Sá,POR,30.0,GK,GK,33.7,-0.029673590504451036,1.0498091545716468
José Sá,POR,30.0,GK,GK,33.7,-0.029673590504451036,1.0498091545716468
Lucas Chevalier,FRA,21.0,GK,GK,33.0,-0.030303030303030304,1.0353439536152989
Luís Maximiano,POR,24.0,GK,GK,33.0,-0.030303030303030304,1.0353439536152989
Pau López,ESP,28.0,GK,GK,32.7,-0.030581039755351678,1.028954998540215
Alexander Nübel,GER,26.0,GK,GK,30.0,-0.03333333333333333,0.9657043432968819
Benjamin Lecomte,FRA,32.0,GK,GK,30.0,-0.03333333333333333,0.9657043432968819
Alphonse Areola,FRA,30.0,GK,GK,30.0,-0.03333333333333333,0.9657043432968819
Florian Thauvin,FRA,30.0,FW,FWD,19.0,26.96684210526316,0.9623378293508698
Kiko Femenía,ESP,32.0,DF,DEF,17.6,32.12545454545455,0.9459125283306746
Thilo Kehrer,GER,26.0,DF,DEF,14.7,24.345578231292517,0.9151911152389971
Alisson,BRA,30.0,GK,GK,28.0,-0.03571428571428571,0.9109875066181256
Dominic Solanke,ENG,25.0,FW,FWD,36.9,19.312059620596205,0.8826127567143411
Felipe Anderson,BRA,30.0,"FW,MF",FWD,30.8,31.47272727272727,0.871614604744698
Liberato Cacace,NZL,22.0,DF,DEF,21.2,24.47811320754717,0.8671862289827095
Ayoze Pérez,ESP,30.0,FW,FWD,25.5,29.201960784313727,0.8640229021725663
Gregor Kobel,SUI,25.0,GK,GK,26.3,-0.03802281368821293,0.8579350604086851
Keane Lewis-Potter,ENG,22.0,"FW,DF",FWD,16.0,29.955,0.8475788930343695
Cristian Romero,ARG,25.0,DF,DEF,31.0,21.225483870967743,0.8283863358640492
Robin Gosens,GER,29.0,"DF,MF",MID,25.4,28.24976377952756,0.7770925078215312
Ørjan Nyland,NOR,32.0,GK,GK,24.0,-0.041666666666666664,0.7741954149212348
Wilfried Singo,CIV,22.0,DF,DEF,24.3,26.279382716049383,0.7520474422681307
Rui Patrício,POR,35.0,GK,GK,23.0,-0.043478260869565216,0.7325630391873984
Nabil Fekir,FRA,30.0,"MF,FW",FWD,11.7,31.580000000000005,0.7317173530161833
Manuel Neuer,GER,37.0,GK,GK,22.8,-0.043859649122807015,0.7237983285065908
Albert Sambi Lokonga,BEL,23.0,MF,MID,14.5,24.460344827586212,0.6750021280925314
Ridle Baku,GER,25.0,"DF,MF",MID,22.4,34.201428571428565,0.671642817279666
Waldemar Anton,GER,27.0,DF,DEF,32.1,21.099968847352024,0.6593232134256475
Borja Mayoral,ESP,26.0,FW,FWD,23.9,19.530627615062762,0.6524284974755761
Carlos Vicente,ESP,24.0,FW,FWD,12.4,22.854516129032255,0.6461309672116806
Alberto Moleiro,ESP,19.0,"FW,MF",FWD,20.0,36.96,0.6460518218471372
Dilane Bakwa,FRA,20.0,"FW,MF",FWD,24.2,33.794793388429746,0.6398162701232577
Bryan Zaragoza,ESP,22.0,"MF,FW",FWD,18.2,30.751373626373628,0.6284733117991956
Kingsley Ehizibue,NED,28.0,DF,DEF,10.6,21.85509433962264,0.5911385837235422
Sam Johnstone,ENG,30.0,GK,GK,20.0,-0.05,0.5826864865455875
Igor,BRA,25.0,DF,DEF,18.2,24.440659340659344,0.554666477142203
Daniel Parejo,ESP,34.0,MF,MID,28.7,27.01850174216028,0.5458509044911268
Fares Chaïbi,ALG,20.0,"MF,FW",FWD,21.2,28.21943396226415,0.5339407686957904
Paulo Gazzaniga,ARG,31.0,GK,GK,38.0,-0.05263157894736842,0.5222099828480149
Matthis Abline,FRA,20.0,FW,FWD,11.6,25.809655172413795,0.5133951677112565
Simon Adingra,CIV,21.0,FW,FWD,24.7,37.0351012145749,0.4768595327137456
Josh Doig,SCO,21.0,DF,DEF,14.9,21.839395973154364,0.4494547198928217
Unai Simón,ESP,26.0,GK,GK,35.4,-0.05649717514124294,0.43337444069338815
Jarell Quansah,ENG,20.0,DF,DEF,13.2,18.583333333333336,0.42339206834853804
Hicham Boudaoui,ALG,23.0,MF,MID,17.9,28.10670391061453,0.4230685507523501
José Luis García Vayá,ESP,24.0,MF,MID,36.7,27.346021798365122,0.35940686928255033
Reece Burke,ENG,26.0,DF,DEF,18.4,15.378260869565217,0.35165034239328596
Ferland Mendy,FRA,28.0,DF,DEF,19.1,31.104764397905758,0.3499320528767617
Arthur Desmas,FRA,29.0,GK,GK,33.0,-0.06060606060606061,0.3389478504311275
Muhammed Cham,AUT,22.0,"MF,FW",FWD,28.4,28.31718309859155,0.3216298060271363
David Raya,ESP,27.0,GK,GK,32.0,-0.0625,0.29542309398211686
Kevin Trapp,GER,33.0,GK,GK,32.0,-0.0625,0.29542309398211686
Matz Sels,BEL,31.0,GK,GK,16.0,-0.0625,0.29542309398211686
Sergio Herrera,ESP,30.0,GK,GK,31.9,-0.06269592476489029,0.2909205329701501
Thierry Correia,POR,24.0,DF,DEF,23.9,22.25284518828452,0.2634759788160419
Marcel Schuhen,GER,30.0,GK,GK,31.0,-0.06451612903225806,0.2490902887299442
Pep Chavarría,ESP,25.0,"DF,MF",MID,13.0,43.074615384615385,0.2086479502708518
Alaa Bellaarouch,MAR,21.0,GK,GK,15.0,-0.06666666666666667,0.19966862979429334
André Ferreira,POR,27.0,GK,GK,14.9,-0.06711409395973154,0.18938627122378876
Nick Pope,ENG,31.0,GK,GK,14.9,-0.06711409395973154,0.18938627122378876
Emerson,BRA,24.0,DF,DEF,12.9,26.128992248062016,0.17348571360214748
Wes Foderingham,ENG,32.0,GK,GK,29.4,-0.06802721088435375,0.168401865977861
Nabil Alioui,FRA,24.0,"MF,FW",FWD,11.2,26.645,0.16793493814048693
Pau Torres,ESP,26.0,DF,DEF,27.4,20.478467153284672,0.16709339068483964
Jordan Ferri,FRA,31.0,MF,MID,22.6,37.16716814159291,0.161689546322877
Aurélio Buta,POR,26.0,"DF,MF",MID,19.4,38.03886597938144,0.10100103956747436
Christian Mawissa,FRA,18.0,DF,DEF,12.4,18.42516129032258,0.10071632362412042
James Trafford,ENG,20.0,GK,GK,28.0,-0.07142857142857142,0.09023495643678076
Christoph Baumgartner,AUT,23.0,"MF,FW",FWD,12.9,28.378992248062016,0.08284062017137622
Alban Lafont,FRA,24.0,GK,GK,27.7,-0.07220216606498195,0.07245692285884542
Morgan Gibbs-White,ENG,23.0,"MF,FW",FWD,35.1,26.336994301994302,0.038489630758158755
Levi Colwill,ENG,20.0,DF,DEF,20.0,18.68,0.03633377964471074
Michael Zetterer,GER,28.0,GK,GK,27.0,-0.07407407407407407,0.029438471238162595
Moritz Nicolas,GER,25.0,GK,GK,27.0,-0.07407407407407407,0.029438471238162595
Vicente Guaita,ESP,36.0,GK,GK,26.7,-0.0749063670411985,0.010311487130732044
Kepa Arrizabalaga,ESP,28.0,GK,GK,13.3,-0.07518796992481203,0.003839951154533894
Jonathan Burkardt,GER,23.0,"FW,MF",FWD,17.1,22.0762865497076,-0.03808090923073326
Bernd Leno,GER,31.0,GK,GK,38.0,-0.07894736842105263,-0.08255505412771291
David Soria,ESP,30.0,GK,GK,37.9,-0.079155672823219,-0.08734211246789042
Thomas Kaminski,BEL,30.0,GK,GK,37.8,-0.07936507936507937,-0.09215449915907398
Koen Casteels,BEL,31.0,GK,GK,25.0,-0.08,-0.10674565560674215
Mohammed Salisu,GHA,24.0,DF,DEF,11.5,22.240000000000002,-0.1226092602686294
Romano Schmid,AUT,23.0,"MF,FW",FWD,28.9,28.221384083044985,-0.12418004800963284
Pablo Barrios,ESP,20.0,MF,MID,17.3,33.442369942196535,-0.1278718257670663
Abdou Harroui,NED,25.0,"MF,FW",FWD,11.3,26.29079646017699,-0.1355896561911073
Bilal Boutobba,FRA,24.0,"FW,MF",FWD,10.3,33.77009708737864,-0.14164221595112997
Duván Zapata,COL,32.0,FW,FWD,32.0,25.4875,-0.15519519775443275
Mark Flekken,NED,30.0,GK,GK,36.5,-0.0821917808219178,-0.15711512717951498
Kristoffer Ajer,NOR,25.0,DF,DEF,20.4,16.999607843137255,-0.1747573708777178
Matthias Bader,GER,26.0,"DF,MF",MID,20.0,26.439999999999998,-0.19077468726401187
Yann Gboho,FRA,22.0,"MF,FW",FWD,13.3,33.02375939849624,-0.21231662348475383
Adam Wharton,ENG,19.0,MF,MID,14.4,22.499444444444443,-0.24851891655237696
Marcus Tavernier,ENG,24.0,FW,FWD,23.5,29.97787234042553,-0.25246582585069594
Cyril Ngonge,BEL,23.0,"FW,MF",FWD,15.9,29.006666666666664,-0.2622708015106558
Keito Nakamura,JPN,23.0,"FW,MF",FWD,15.3,33.69078431372549,-0.29248027049884967
Guillaume Restes,FRA,18.0,GK,GK,34.0,-0.08823529411764706,-0.2960015377662053
Antonio Sivera,ESP,26.0,GK,GK,34.0,-0.08823529411764706,-0.2960015377662053
Michael Gregoritsch,AUT,29.0,FW,FWD,18.7,18.928877005347598,-0.30870226812706575
Robert Andrich,GER,28.0,"MF,DF",MID,18.8,21.921489361702125,-0.33081333846167577
Lovro Majer,CRO,25.0,"MF,FW",FWD,23.4,29.479102564102565,-0.337878882879418
Alexandre Oukidja,ALG,35.0,GK,GK,33.2,-0.09036144578313252,-0.34486278100875123
Brice Samba,FRA,29.0,GK,GK,33.0,-0.09090909090909091,-0.3574482527530439
Sven Ulreich,GER,34.0,GK,GK,11.0,-0.09090909090909091,-0.3574482527530439
Carlos Neva,ESP,27.0,DF,DEF,35.0,21.785714285714285,-0.3943641190854513
Valentin Carboni,ARG,18.0,"MF,FW",FWD,13.0,29.863846153846154,-0.4285539817207558
Kim Min-jae,KOR,26.0,DF,DEF,21.9,20.366986301369863,-0.4438773928280726
Aarón Martín,ESP,26.0,DF,DEF,15.3,26.513790849673203,-0.45426948559847835
Manu Morlanes,ESP,24.0,MF,MID,17.9,28.154301675977653,-0.4725209060781376
Antony,BRA,23.0,FW,FWD,14.7,37.27034013605442,-0.49125436031885655
Martin Terrier,FRA,26.0,"FW,MF",FWD,17.0,25.93764705882353,-0.5192024733030438
Junior Sambia,FRA,26.0,"DF,MF",MID,11.5,27.0,-0.5237595601475287
Antoine Semenyo,GHA,23.0,FW,FWD,23.4,30.96888888888889,-0.5383388370653879
Danilo,BRA,32.0,DF,DEF,27.2,22.031470588235294,-0.556183928678477
Robin Zentner,GER,28.0,GK,GK,30.0,-0.1,-0.5663670837082954
Mory Diaw,SEN,30.0,GK,GK,30.0,-0.1,-0.5663670837082954
Javi Hernández,ESP,25.0,DF,DEF,27.9,20.549211469534054,-0.5702675756624599
Lamine Camara,SEN,19.0,MF,MID,25.1,23.570119521912346,-0.5714688015594334
Yunis Abdelhamid,MAR,35.0,DF,DEF,30.9,17.75809061488673,-0.5805145626871698
Christopher Antwi-Adjei,GHA,29.0,"FW,MF",FWD,13.5,33.379629629629626,-0.599756179363971
Rodrigo Bentancur,URU,26.0,MF,MID,11.2,32.16,-0.6025742365220315
Jan-Niklas Beste,GER,24.0,"FW,MF",FWD,28.9,21.15932525951557,-0.6179762814904317
Neal Maupay,FRA,26.0,FW,FWD,14.7,22.847891156462584,-0.6575005667315761
Adam Webster,ENG,28.0,DF,DEF,12.7,23.04212598425197,-0.6584782354411688
Matz Sels,BEL,31.0,GK,GK,19.0,-0.10526315789473684,-0.6873200911034407
Musa Al-Taamari,JOR,26.0,FW,FWD,21.4,30.017757009345797,-0.6947307970450518
Max Aarons,ENG,23.0,DF,DEF,13.7,20.114014598540145,-0.6980479425603182
Eldor Shomurodov,UZB,28.0,"FW,MF",FWD,10.4,18.463076923076922,-0.705033198151118
Marc-André ter Stegen,GER,31.0,GK,GK,28.0,-0.10714285714285714,-0.7305175937445642
Saúl Ñíguez,ESP,28.0,MF,MID,15.3,20.24673202614379,-0.7510622551089456
Koke,ESP,31.0,MF,MID,27.7,29.261552346570397,-0.7535496050344046
Morten Thorsby,NOR,27.0,MF,MID,12.9,18.23170542635659,-0.7640191643694301
Ander Barrenetxea,ESP,21.0,"FW,MF",FWD,15.9,34.07993710691824,-0.8112241760665111
Dean Henderson,ENG,26.0,GK,GK,18.0,-0.1111111111111111,-0.8217123215424913
Ante Budimir,CRO,32.0,FW,FWD,27.1,15.388118081180812,-0.8576284919172161
Jean-Clair Todibo,FRA,23.0,DF,DEF,29.5,19.805423728813555,-0.8816025657279717
Kevin Vogt,GER,31.0,DF,DEF,14.7,22.79108843537415,-0.8850987550853361
Lukas Klostermann,GER,27.0,DF,DEF,16.0,21.9,-0.9039149523684832
Tijjani Noslin,NED,24.0,"FW,MF",FWD,14.9,22.42577181208054,-0.9082830752207349
Matt Turner,USA,29.0,GK,GK,17.0,-0.11764705882352941,-0.9719154026214303
Marcus Rashford,ENG,25.0,FW,FWD,25.2,29.18222222222222,-0.9969876502778459
Emiliano Martínez,ARG,30.0,GK,GK,33.5,-0.11940298507462686,-1.0122684691799513
Karim Adeyemi,GER,21.0,"FW,MF",FWD,10.1,36.28237623762376,-1.0455705168136755
Florian Grillitsch,AUT,27.0,"DF,MF",MID,25.5,25.031568627450984,-1.055411759003857
Tuta,BRA,24.0,DF,DEF,28.9,21.57107266435986,-1.0613074162229692
Jeanuël Belocian,FRA,18.0,DF,DEF,16.1,21.24590062111801,-1.063938996870999
Rodrigo Muniz,BRA,22.0,FW,FWD,17.7,14.941920903954804,-1.073292277154994
Lewis Dunk,ENG,31.0,DF,DEF,31.9,18.67990595611285,-1.0890384928809604
Benedict Hollerbach,GER,22.0,"FW,MF",FWD,14.2,31.949999999999996,-1.09805305250541
Evann Guessand,CIV,22.0,FW,FWD,17.3,24.191300578034678,-1.117135474955461
Robert Sánchez,ESP,25.0,GK,GK,15.9,-0.12578616352201258,-1.158960748870675
Elijah Adebayo,ENG,25.0,FW,FWD,15.8,21.87746835443038,-1.1676426026834648
Niklas Süle,GER,27.0,DF,DEF,16.8,19.931428571428572,-1.172729998129915
Mattéo Guendouzi,FRA,24.0,MF,MID,26.3,28.560608365019014,-1.226067939618008
Mats Hummels,GER,34.0,DF,DEF,17.6,16.188636363636363,-1.2268185291810867
Finn Dahmen,GER,25.0,GK,GK,31.0,-0.12903225806451613,-1.2335594793395819
Amine Harit,MAR,26.0,"MF,FW",FWD,20.2,32.98267326732673,-1.2909607633108835
