Nation_code,n_depth_players,depth12_23_avg_score,depth12_23_sum_score,depth12_23_min_score,depth12_23_max_score,depth12_23_minutes90_sum,depth12_23_players
SEN,8,14.948179053981793,119.58543243185434,-0.1,20.494967320261438,157.9,"Cheikh Tidiane Sabaly (20.49), Pathé Ciss (19.27), Dion Lopy (18.63), Formose Mendy (18.45), Boulaye Dia (17.03), Arouna Sangante (15.29), Moussa Niakhate (10.52), Mory Diaw (-0.1)"
URU,8,14.81604310376276,118.52834483010209,5.608231292517007,19.877777777777776,147.6,"Martin Satriano (19.88), Ronald Araújo (18.57), Carlos Benavídez (18.22), Manuel Ugarte Ribeiro (17.94), Bruno Méndez (13.92), Maxi Gómez (12.38), Gastón Álvarez (12.02), José María Giménez (5.61)"
SUI,12,13.882451356760216,166.5894162811226,-0.029411764705882353,22.317922077922077,294.1,"Ricardo Rodríguez (22.32), Zeki Amdouni (20.48), Denis Zakaria (19.85), Jordan Lotomba (19.19), Nico Elvedi (16.55), Fabian Schär (16.16), Cedric Zesiger (15.95), Edimilson Fernandes (15.04), Becir Omeragic (12.11), Eray Cömert (8.97), Philipp Köhn (0.0), Yann Sommer (-0.03)"
CIV,7,13.705268380115061,95.93687866080543,4.178582995951417,21.337222222222223,126.4,"Mohamed Bamba (21.34), Oumar Diakité (20.63), Obite N'Dicka (15.55), Ibrahim Sangaré (14.3), Abakar Sylla (12.38), Willy Boly (7.56), Ismaël Traoré (4.18)"
MAR,10,12.503362052275452,125.03362052275452,-0.06666666666666667,20.861176470588234,235.9,"Munir El Haddadi (20.86), Youssef Maleh (20.71), Walid Cheddira (18.47), Yunis Abdelhamid (17.76), Adam Masina (13.48), Nayef Aguerd (11.74), Youssef En-Nesyri (10.9), Abdel Abqar (6.3), Chadi Riad (4.88), Alaa Bellaarouch (-0.07)"
GHA,8,12.390327349457566,99.12261879566053,7.430425531914895,18.461463414634146,124.2,"André Ayew (18.46), Jeffrey Schlupp (15.24), Iddrisu Baba (12.36), Alidu Seidu (12.17), Emmanuel Gyasi (11.72), Ibrahim Sulemana (11.4), Nathaniel Adjei (10.34), Abdul Mumin (7.43)"
USA,8,9.712018252032895,77.69614601626316,-0.11764705882352941,15.421645569620251,158.7,"Jordan Pefok (15.42), Tim Ream (14.01), Johnny Cardoso (13.97), John Brooks (11.64), Lennard Maloney (10.03), Auston Trusty (6.77), Chris Richards (5.99), Matt Turner (-0.12)"
JPN,1,9.682542372881356,9.682542372881356,9.682542372881356,9.682542372881356,17.7,Ko Itakura (9.68)
NOR,4,9.320203526161846,37.28081410464738,-0.041666666666666664,16.999607843137255,73.5,"Kristoffer Ajer (17.0), Leo Skiri Østigård (15.17), Andreas Hanche-Olsen (5.15), Ørjan Nyland (-0.04)"
COL,2,7.44261208576998,14.88522417153996,6.590370370370371,8.29485380116959,47.7,"Cristhian Mosquera (8.29), Yerry Mina (6.59)"
ALG,1,-0.09036144578313252,-0.09036144578313252,-0.09036144578313252,-0.09036144578313252,33.2,Alexandre Oukidja (-0.09)
