team_A,team_B,P_team_A_wins,P_team_B_wins
SCO,PAR,1.0,0.0
SUI,UZB,1.0,0.0
GHA,MEX,1.0,0.0
GHA,UZB,1.0,0.0
GHA,RSA,1.0,0.0
GHA,PAR,1.0,0.0
GHA,NZL,1.0,0.0
GHA,HAI,1.0,0.0
GHA,CPV,1.0,0.0
USA,MEX,1.0,0.0
USA,HAI,1.0,0.0
CIV,CPV,1.0,0.0
GER,UZB,1.0,0.0
GER,USA,1.0,0.0
GER,URU,1.0,0.0
GER,TUN,1.0,0.0
GER,SUI,1.0,0.0
GER,SEN,1.0,0.0
GER,SCO,1.0,0.0
GER,RSA,1.0,0.0
GER,PAR,1.0,0.0
POR,GHA,1.0,0.0
POR,EGY,1.0,0.0
POR,ECU,1.0,0.0
POR,CPV,1.0,0.0
POR,COL,1.0,0.0
POR,CIV,1.0,0.0
POR,CAN,1.0,0.0
CIV,NZL,1.0,0.0
CIV,MEX,1.0,0.0
CIV,HAI,1.0,0.0
GER,PAN,1.0,0.0
GER,NZL,1.0,0.0
GER,NOR,1.0,0.0
GER,MEX,1.0,0.0
GER,MAR,1.0,0.0
GER,KOR,1.0,0.0
GER,JPN,1.0,0.0
GER,JOR,1.0,0.0
GER,HAI,1.0,0.0
GER,GHA,1.0,0.0
GER,EGY,1.0,0.0
GER,ECU,1.0,0.0
USA,CPV,1.0,0.0
CIV,UZB,1.0,0.0
CIV,TUN,1.0,0.0
POR,JOR,1.0,0.0
POR,HAI,1.0,0.0
GER,CRO,1.0,0.0
GER,CPV,1.0,0.0
GER,COL,1.0,0.0
GER,CIV,1.0,0.0
GER,CAN,1.0,0.0
GER,AUT,1.0,0.0
GER,ARG,1.0,0.0
GER,ALG,1.0,0.0
FRA,UZB,1.0,0.0
FRA,USA,1.0,0.0
FRA,URU,1.0,0.0
FRA,TUN,1.0,0.0
FRA,SUI,1.0,0.0
FRA,SEN,1.0,0.0
CIV,RSA,1.0,0.0
COL,MEX,1.0,0.0
FRA,SCO,1.0,0.0
FRA,RSA,1.0,0.0
FRA,PAR,1.0,0.0
FRA,PAN,1.0,0.0
FRA,NZL,1.0,0.0
FRA,NOR,1.0,0.0
FRA,MEX,1.0,0.0
FRA,MAR,1.0,0.0
FRA,KOR,1.0,0.0
FRA,JPN,1.0,0.0
FRA,JOR,1.0,0.0
FRA,HAI,1.0,0.0
FRA,GHA,1.0,0.0
POR,ALG,1.0,0.0
FRA,EGY,1.0,0.0
FRA,ECU,1.0,0.0
FRA,CRO,1.0,0.0
FRA,CPV,1.0,0.0
FRA,COL,1.0,0.0
FRA,CIV,1.0,0.0
FRA,CAN,1.0,0.0
FRA,BEL,1.0,0.0
FRA,AUT,1.0,0.0
FRA,ARG,1.0,0.0
FRA,ALG,1.0,0.0
ESP,UZB,1.0,0.0
ESP,USA,1.0,0.0
URU,NZL,1.0,0.0
URU,MEX,1.0,0.0
URU,UZB,1.0,0.0
URU,TUN,1.0,0.0
URU,RSA,1.0,0.0
URU,PAR,1.0,0.0
ESP,URU,1.0,0.0
ESP,TUN,1.0,0.0
ESP,SUI,1.0,0.0
ESP,SEN,1.0,0.0
ESP,SCO,1.0,0.0
ESP,RSA,1.0,0.0
ESP,PAR,1.0,0.0
ESP,PAN,1.0,0.0
ESP,NZL,1.0,0.0
ESP,NOR,1.0,0.0
ESP,MEX,1.0,0.0
ESP,MAR,1.0,0.0
ESP,KOR,1.0,0.0
ESP,JPN,1.0,0.0
SCO,CPV,1.0,0.0
ESP,JOR,1.0,0.0
ESP,HAI,1.0,0.0
ESP,GHA,1.0,0.0
ESP,EGY,1.0,0.0
ESP,ECU,1.0,0.0
ESP,CRO,1.0,0.0
ESP,CPV,1.0,0.0
ESP,COL,1.0,0.0
ESP,CIV,1.0,0.0
ESP,CAN,1.0,0.0
ESP,AUT,1.0,0.0
CRO,KOR,1.0,0.0
CRO,JOR,1.0,0.0
URU,HAI,1.0,0.0
CRO,EGY,1.0,0.0
CRO,CPV,1.0,0.0
CRO,CAN,1.0,0.0
ESP,ARG,1.0,0.0
ESP,ALG,1.0,0.0
ENG,UZB,1.0,0.0
ENG,USA,1.0,0.0
ENG,URU,1.0,0.0
ENG,TUN,1.0,0.0
ENG,SUI,1.0,0.0
ENG,SEN,1.0,0.0
ENG,SCO,1.0,0.0
ENG,RSA,1.0,0.0
ENG,PAR,1.0,0.0
ENG,PAN,1.0,0.0
ENG,NZL,1.0,0.0
ENG,NOR,1.0,0.0
CRO,UZB,1.0,0.0
CRO,TUN,1.0,0.0
CRO,ALG,1.0,0.0
CRO,RSA,1.0,0.0
CRO,PAR,1.0,0.0
CRO,PAN,1.0,0.0
CRO,NZL,1.0,0.0
CRO,MEX,1.0,0.0
CRO,HAI,1.0,0.0
ENG,MEX,1.0,0.0
ENG,KOR,1.0,0.0
ENG,JPN,1.0,0.0
ENG,JOR,1.0,0.0
ENG,HAI,1.0,0.0
ENG,GHA,1.0,0.0
ENG,EGY,1.0,0.0
ENG,ECU,1.0,0.0
ENG,CRO,1.0,0.0
ENG,CPV,1.0,0.0
ENG,COL,1.0,0.0
ENG,CIV,1.0,0.0
ENG,CAN,1.0,0.0
ENG,AUT,1.0,0.0
ENG,ARG,1.0,0.0
ENG,ALG,1.0,0.0
ECU,MEX,1.0,0.0
URU,CPV,1.0,0.0
SCO,PAN,1.0,0.0
SCO,NZL,1.0,0.0
SCO,MEX,1.0,0.0
SCO,HAI,1.0,0.0
POR,KOR,1.0,0.0
POR,UZB,1.0,0.0
BRA,CRO,0.9999999999999998,2.220446049250313e-16
USA,PAR,0.9999999999999998,2.220446049250313e-16
MAR,GHA,0.9999999999999998,2.220446049250313e-16
JPN,KOR,0.9999999999999993,6.661338147750939e-16
FRA,POR,0.9999999999999993,6.661338147750939e-16
GER,BEL,0.9999999999999993,6.661338147750939e-16
SCO,KOR,0.9999999999999991,8.881784197001252e-16
BEL,SUI,0.9999999999999987,1.3322676295501878e-15
ENG,MAR,0.9999999999999987,1.3322676295501878e-15
COL,CPV,0.9999999999999987,1.3322676295501878e-15
CAN,MEX,0.9999999999999984,1.5543122344752192e-15
ECU,CPV,0.9999999999999984,1.5543122344752192e-15
EGY,MEX,0.9999999999999984,1.5543122344752192e-15
ALG,MEX,0.9999999999999984,1.5543122344752192e-15
GHA,TUN,0.9999999999999982,1.7763568394002505e-15
CRO,ECU,0.999999999999998,1.9984014443252818e-15
NED,CRO,0.999999999999998,1.9984014443252818e-15
CRO,COL,0.9999999999999976,2.4424906541753444e-15
ARG,USA,0.9999999999999976,2.4424906541753444e-15
COL,UZB,0.9999999999999971,2.886579864025407e-15
SEN,PAN,0.9999999999999969,3.1086244689504383e-15
ECU,UZB,0.9999999999999967,3.3306690738754696e-15
NOR,TUN,0.9999999999999964,3.552713678800501e-15
BRA,AUT,0.9999999999999962,3.774758283725532e-15
JPN,JOR,0.9999999999999951,4.884981308350689e-15
JOR,MEX,0.9999999999999947,5.329070518200751e-15
MAR,CIV,0.9999999999999942,5.773159728050814e-15
POR,SCO,0.9999999999999942,5.773159728050814e-15
SCO,JOR,0.9999999999999927,7.327471962526033e-15
ESP,BEL,0.9999999999999918,8.215650382226158e-15
POR,JPN,0.9999999999999916,8.43769498715119e-15
COL,HAI,0.9999999999999882,1.176836406102666e-14
URU,PAN,0.9999999999999858,1.4210854715202004e-14
ECU,HAI,0.9999999999999856,1.4432899320127035e-14
MAR,URU,0.9999999999999851,1.4876988529977098e-14
JPN,ALG,0.9999999999999845,1.554312234475219e-14
JPN,EGY,0.9999999999999845,1.554312234475219e-14
JPN,CAN,0.9999999999999838,1.6209256159527285e-14
ARG,NOR,0.9999999999999833,1.6653345369377348e-14
SCO,EGY,0.9999999999999769,2.3092638912203256e-14
SCO,ALG,0.9999999999999767,2.3314683517128287e-14
USA,TUN,0.9999999999999762,2.375877272697835e-14
SCO,CAN,0.999999999999976,2.398081733190338e-14
GER,POR,0.9999999999999698,3.019806626980426e-14
ARG,GHA,0.9999999999999671,3.2862601528904634e-14
CIV,PAN,0.9999999999999631,3.68594044175552e-14
KOR,MEX,0.9999999999999589,4.107825191113079e-14
NED,AUT,0.9999999999999529,4.707345624410664e-14
CAN,CPV,0.99999999999995,4.9960036108132044e-14
ALG,CPV,0.9999999999999485,5.1514348342607263e-14
EGY,CPV,0.9999999999999483,5.1736392947532295e-14
MAR,SEN,0.9999999999999314,6.861178292183467e-14
CAN,UZB,0.9999999999998903,1.0969003483296547e-13
ALG,UZB,0.9999999999998868,1.1324274851176597e-13
EGY,UZB,0.9999999999998863,1.1368683772161603e-13
JOR,CPV,0.9999999999998372,1.6275869541004795e-13
SUI,KOR,0.9999999999998357,1.6431300764452317e-13
BEL,SCO,0.9999999999997504,2.495781359357352e-13
COL,RSA,0.9999999999997327,2.673417043297377e-13
COL,NZL,0.999999999999696,3.0397906414236786e-13
ECU,RSA,0.9999999999996758,3.241851231905457e-13
JOR,UZB,0.9999999999996423,3.5771385853422544e-13
ESP,POR,0.9999999999996352,3.6481928589182644e-13
ECU,NZL,0.9999999999996314,3.6859404417555197e-13
BEL,JPN,0.9999999999996287,3.7125857943465235e-13
CAN,HAI,0.9999999999995357,4.642952688982405e-13
ALG,HAI,0.9999999999995204,4.796163466380676e-13
EGY,HAI,0.9999999999995186,4.813927034774679e-13
JPN,ECU,0.9999999999994762,5.238032230181489e-13
FRA,NED,0.9999999999993809,6.190603585309873e-13
JPN,COL,0.9999999999993647,6.352696146905146e-13
SCO,ECU,0.9999999999992211,7.789324740770098e-13
ARG,CIV,0.9999999999990703,9.29700760821106e-13
SCO,COL,0.9999999999990554,9.445777493510832e-13
GHA,PAN,0.999999999998958,1.042055330913172e-12
AUT,USA,0.9999999999988591,1.1408651801048109e-12
KOR,CPV,0.9999999999987204,1.2796430581829554e-12
SUI,JOR,0.999999999998709,1.290967333034132e-12
JOR,HAI,0.999999999998485,1.5150103394034886e-12
BRA,ARG,0.9999999999982949,1.7050805212193154e-12
NOR,PAN,0.9999999999979512,2.048805569643264e-12
POR,CRO,0.9999999999978808,2.119193709404499e-12
ARG,URU,0.9999999999975755,2.424505041176417e-12
KOR,UZB,0.9999999999971889,2.8110846983508964e-12
COL,PAR,0.9999999999969065,3.093525435815536e-12
ECU,PAR,0.999999999996249,3.750999510998554e-12
SUI,EGY,0.9999999999959375,4.062528091708373e-12
SUI,ALG,0.9999999999959208,4.07918143707775e-12
SUI,CAN,0.9999999999957874,4.212630244637694e-12
ENG,BEL,0.9999999999956097,4.390265928577719e-12
MAR,SUI,0.9999999999952445,4.7555293036793955e-12
AUT,NOR,0.9999999999925178,7.48223705215878e-12
FRA,BRA,0.9999999999923586,7.641443033890027e-12
CAN,RSA,0.9999999999894942,1.0505818437422931e-11
ALG,RSA,0.9999999999891505,1.084954348584688e-11
EGY,RSA,0.9999999999891058,1.0894174451436811e-11
ARG,SEN,0.9999999999887541,1.124589310563806e-11
SEN,KOR,0.9999999999886264,1.1373568753469954e-11
KOR,HAI,0.9999999999880935,1.1906475805290029e-11
CAN,NZL,0.9999999999880531,1.1946887923386385e-11
ALG,NZL,0.9999999999876621,1.2337908472659365e-11
EGY,NZL,0.9999999999876115,1.2388534642582272e-11
USA,PAN,0.999999999986563,1.343702926703827e-11
AUT,GHA,0.9999999999852891,1.4710899165493174e-11
NED,ARG,0.9999999999789491,2.1050938769917593e-11
CRO,USA,0.999999999972057,2.794298126218564e-11
GER,NED,0.9999999999666778,3.332223386109945e-11
JOR,RSA,0.9999999999657208,3.4279246108326333e-11
JOR,NZL,0.9999999999610185,3.898148470682372e-11
POR,AUT,0.9999999999480957,5.190425866885562e-11
URU,KOR,0.9999999999472424,5.2757576085582514e-11
SEN,JOR,0.999999999910619,8.93809470881024e-11
BEL,CRO,0.9999999999066611,9.333889217089109e-11
CAN,PAR,0.9999999998784255,1.2157452822236792e-10
ALG,PAR,0.9999999998744471,1.255529014088097e-10
EGY,PAR,0.9999999998739317,1.260682669368407e-10
SUI,ECU,0.9999999998634654,1.3653456143458698e-10
CIV,KOR,0.9999999998624356,1.3756440431222927e-10
PAN,MEX,0.9999999998469926,1.5300738454016027e-10
SUI,COL,0.9999999998344506,1.6554935200474574e-10
CRO,NOR,0.9999999998167453,1.832547447122579e-10
ENG,POR,0.999999999806634,1.9336598988672904e-10
COL,TUN,0.9999999997375362,2.624638284487446e-10
KOR,RSA,0.9999999997306106,2.6938939967635633e-10
BRA,MAR,0.9999999997208444,2.79155587534774e-10
SEN,EGY,0.9999999997187567,2.8124325091027913e-10
SEN,ALG,0.9999999997176019,2.823981049004942e-10
SEN,CAN,0.9999999997083611,2.9163893522365925e-10
KOR,NZL,0.9999999996936575,3.063425069171899e-10
ECU,TUN,0.9999999996817601,3.18239878893678e-10
CRO,GHA,0.9999999996397053,3.602946829772691e-10
JOR,PAR,0.9999999996033178,3.966822426093586e-10
ESP,NED,0.9999999995981557,4.018443355846557e-10
GER,BRA,0.9999999995886211,4.1137893092013655e-10
URU,JOR,0.9999999995853952,4.146047949404874e-10
AUT,CIV,0.9999999995845157,4.1548431362059546e-10
ARG,SUI,0.9999999992214452,7.785547762040324e-10
MAR,SCO,0.9999999991665176,8.334823942135472e-10
CIV,JOR,0.9999999989189254,1.081074563202833e-09
AUT,URU,0.9999999989166319,1.0833680619271036e-09
MAR,JPN,0.9999999987606638,1.2393361892293342e-09
URU,EGY,0.9999999986954189,1.3045811098066906e-09
URU,ALG,0.9999999986900625,1.3099374918112971e-09
URU,CAN,0.9999999986471972,1.3528027587028646e-09
BEL,AUT,0.9999999977139578,2.286042244392661e-09
KOR,PAR,0.999999996882603,3.1173970072018165e-09
CIV,EGY,0.999999996598328,3.401672055147742e-09
CIV,ALG,0.9999999965843609,3.4156391048867363e-09
NED,MAR,0.9999999965536823,3.4463176756815983e-09
CIV,CAN,0.999999996472591,3.5274090315340345e-09
GHA,KOR,0.9999999961146964,3.885303634376669e-09
PAN,CPV,0.999999995229359,4.770640993356778e-09
ESP,BRA,0.9999999950390275,4.960972521672602e-09
AUT,SEN,0.9999999949746665,5.025333482677752e-09
JPN,USA,0.999999992974671,7.02532898522179e-09
NOR,KOR,0.9999999923611577,7.638842336454843e-09
SEN,ECU,0.999999990547671,9.452329030601447e-09
CRO,CIV,0.9999999898240165,1.017598350028237e-08
CAN,TUN,0.999999989685508,1.0314492038254741e-08
SCO,USA,0.9999999895537758,1.044622421897401e-08
PAN,UZB,0.9999999895197248,1.0480275203228473e-08
ALG,TUN,0.9999999893479866,1.0652013382461689e-08
EGY,TUN,0.99999998930425,1.0695749952382982e-08
SEN,COL,0.9999999885389635,1.146103645321972e-08
POR,ARG,0.9999999768060198,2.3193980180913343e-08
CRO,URU,0.9999999734663028,2.65336972393726e-08
GHA,JOR,0.9999999694666586,3.0533341410787784e-08
JOR,TUN,0.9999999663451244,3.3654875553068564e-08
URU,ECU,0.9999999561542355,4.384576446359034e-08
PAN,HAI,0.9999999556093442,4.4390655817849733e-08
JPN,NOR,0.9999999539265788,4.607342118934099e-08
USA,KOR,0.9999999499030426,5.009695736024611e-08
URU,COL,0.9999999468366053,5.316339468652842e-08
NOR,JOR,0.9999999399688146,6.003118535602425e-08
SCO,NOR,0.9999999314917098,6.850829015192517e-08
TUN,MEX,0.9999999133702415,8.662975847784082e-08
JPN,GHA,0.9999999094156777,9.058432226538571e-08
GHA,EGY,0.9999999039248509,9.607514905862757e-08
GHA,ALG,0.9999999035303724,9.646962761955535e-08
GHA,CAN,0.9999999003735939,9.962640612481977e-08
CIV,ECU,0.99999988567295,1.1432705004921218e-07
CRO,SEN,0.9999998769202645,1.2307973551450857e-07
SCO,GHA,0.9999998653067922,1.3469320780945537e-07
ARG,SCO,0.9999998635481606,1.3645183938315597e-07
CIV,COL,0.9999998613773967,1.3862260328512122e-07
COL,PAN,0.9999998513982175,1.486017825458319e-07
ECU,PAN,0.9999998198189686,1.801810314283614e-07
NOR,EGY,0.9999998111079745,1.8889202546557016e-07
NOR,ALG,0.9999998103323957,1.8966760428895668e-07
NOR,CAN,0.9999998041258982,1.958741018270871e-07
ARG,JPN,0.9999997971046747,2.0289532531858612e-07
ENG,NED,0.9999997869492437,2.1305075625921432e-07
KOR,TUN,0.999999735517296,2.644827039599562e-07
MAR,CRO,0.9999996884094071,3.115905928829932e-07
AUT,SUI,0.9999996520946264,3.479053736210602e-07
USA,JOR,0.9999996063043759,3.936956241012979e-07
BRA,BEL,0.9999990681030686,9.318969313998338e-07
PAN,RSA,0.999998995639489,1.0043605109810727e-06
BEL,ARG,0.9999989784586393,1.0215413607239654e-06
PAN,NZL,0.9999988578678907,1.142132109333005e-06
USA,EGY,0.999998761212022,1.2387879779751643e-06
USA,ALG,0.9999987561256416,1.2438743584031187e-06
USA,CAN,0.9999987154223554,1.2845776445891133e-06
FRA,ENG,0.9999983780039107,1.6219960893293361e-06
SUI,USA,0.9999981691664472,1.8308335527628117e-06
JPN,CIV,0.9999974415870626,2.5584129373923403e-06
ENG,BRA,0.9999973697865647,2.630213435272921e-06
TUN,CPV,0.9999972989658564,2.701034143570702e-06
GHA,ECU,0.999996771012828,3.22898717197706e-06
POR,MAR,0.9999962028595878,3.7971404122094654e-06
SCO,CIV,0.9999961958049444,3.8041950556344517e-06
GHA,COL,0.9999960848258485,3.915174151547518e-06
CAN,PAN,0.9999941601750985,5.8398249015434445e-06
TUN,UZB,0.9999940663130727,5.933686927250825e-06
ALG,PAN,0.9999939690794832,6.030920516764127e-06
EGY,PAN,0.9999939443170469,6.055682953087782e-06
NOR,ECU,0.9999936515520798,6.348447920245803e-06
JPN,URU,0.999993329010775,6.6709892250216285e-06
PAR,MEX,0.9999926503065055,7.349693494473897e-06
MAR,AUT,0.9999923686233527,7.631376647276866e-06
NOR,COL,0.9999923024585113,7.69754148866042e-06
CRO,SUI,0.9999914792206829,8.520779317122695e-06
SCO,URU,0.9999900806890729,9.919310927086755e-06
NED,BEL,0.9999884953807142,1.1504619285784834e-05
PAN,PAR,0.9999883775811729,1.1622418827128556e-05
SUI,NOR,0.9999879931728618,1.2006827138200116e-05
JOR,PAN,0.9999809456452946,1.9054354705394516e-05
SUI,GHA,0.9999763938144295,2.360618557051275e-05
TUN,HAI,0.9999748675294968,2.513247050317524e-05
JPN,SEN,0.9999690565647801,3.0943435219921156e-05
BRA,POR,0.9999589577116207,4.1042288379311564e-05
USA,ECU,0.9999583671586427,4.1632841357275296e-05
SCO,SEN,0.999953989743192,4.601025680794901e-05
USA,COL,0.9999495202410551,5.047975894489909e-05
ARG,CRO,0.9999489911735039,5.1008826496112825e-05
AUT,SCO,0.9999390287467385,6.097125326154362e-05
NZL,MEX,0.9999252132481526,7.47867518473555e-05
RSA,MEX,0.9999149553519723,8.504464802772116e-05
GER,ENG,0.9999126881046925,8.731189530752914e-05
AUT,JPN,0.9999093422568134,9.065774318661735e-05
SEN,USA,0.9998732666178105,0.00012673338218949226
KOR,PAN,0.9998502775657988,0.0001497224342011938
BEL,MAR,0.999832788252054,0.00016721174794598337
PAR,CPV,0.9997708937087879,0.00022910629121208892
PAR,UZB,0.999496830966325,0.0005031690336749772
NED,POR,0.9994935479320829,0.000506452067917107
COL,KOR,0.9994462764499512,0.0005537235500487903
TUN,RSA,0.9994316737830649,0.0005683262169351444
URU,USA,0.9994124029168325,0.0005875970831674682
TUN,NZL,0.9993537648050501,0.0006462351949498846
SUI,CIV,0.9993337069554227,0.0006662930445773263
ECU,KOR,0.9993286840641986,0.0006713159358013865
SEN,NOR,0.9991694437951081,0.0008305562048919191
FRA,ESP,0.9991407837090435,0.0008592162909565326
PAN,TUN,0.9990149034111414,0.0009850965888585916
ESP,ENG,0.9989480890494562,0.0010519109505437996
ARG,AUT,0.9987521943075033,0.0012478056924967174
CRO,SCO,0.9985088365666667,0.0014911634333333312
CIV,USA,0.99846929678668,0.0015307032133200504
SEN,GHA,0.9983683639583965,0.0016316360416035458
SUI,URU,0.9982645114276063,0.0017354885723936953
HAI,MEX,0.9980793533156652,0.0019206466843347814
PAR,HAI,0.9978722220274184,0.002127777972581568
JPN,SUI,0.997862289034727,0.002137710965273043
CRO,JPN,0.9977843421680433,0.0022156578319566522
NZL,CPV,0.9976734645236232,0.0023265354763768453
RSA,CPV,0.9973551693258833,0.002644830674116694
SCO,SUI,0.9968246629953502,0.003175337004649781
MAR,ARG,0.9966014016268626,0.0033985983731373848
URU,NOR,0.9961589729793199,0.003841027020680121
COL,JOR,0.9956649297709562,0.00433507022904378
NZL,UZB,0.9949031947240857,0.0050968052759142735
ECU,JOR,0.9947485250979654,0.005251474902034592
RSA,UZB,0.994208096944193,0.005791903055807013
TUN,PAR,0.9934625618756531,0.006537438124346928
URU,GHA,0.9924761283720104,0.00752387162798962
SUI,SEN,0.9920002441364462,0.007999755863553837
UZB,MEX,0.9919150787758696,0.008084921224130404
CIV,NOR,0.9900460492221161,0.009953950777883858
FRA,GER,0.9897359237601752,0.010264076239824838
POR,BEL,0.9874827258008292,0.012517274199170814
COL,EGY,0.9864851803679561,0.013514819632043928
COL,ALG,0.9864304423435405,0.013569557656459508
COL,CAN,0.9859926250893711,0.014007374910628867
ECU,EGY,0.9836600847175532,0.016339915282446826
ECU,ALG,0.9835940947201105,0.0164059052798895
ECU,CAN,0.9830663346371818,0.01693366536281815
CPV,MEX,0.982409037308601,0.017590962691399037
CIV,GHA,0.9806160759822788,0.019383924017721155
NZL,HAI,0.9787620195930802,0.02123798040691982
CAN,KOR,0.9786912716074064,0.021308728392593568
ALG,KOR,0.9780093192381402,0.021990680761859838
EGY,KOR,0.9779210204275198,0.022078979572480173
AUT,CRO,0.9777130295543438,0.022286970445656196
RSA,HAI,0.9759188844622181,0.024081115537781916
GHA,USA,0.9584982620863698,0.04150173791363021
BRA,NED,0.9567342987830241,0.04326570121697593
SEN,CIV,0.955878152492699,0.04412184750730097
GER,ESP,0.9557531475392543,0.04424685246074567
PAR,RSA,0.9539757019268126,0.04602429807318742
PAR,NZL,0.9479907339625231,0.05200926603747691
HAI,CPV,0.943396808635071,0.05660319136492897
JOR,KOR,0.9336706581029871,0.0663293418970129
NOR,USA,0.921549416443123,0.07845058355687695
SEN,URU,0.8925723742614727,0.10742762573852727
HAI,UZB,0.8835419182825834,0.11645808171741656
CAN,JOR,0.8538948283328899,0.14610517166711012
ALG,JOR,0.8498317792204185,0.15016822077958147
