nation,web_scraper_order,web_scraper_start_url,name,team_contract,best_position,club_position,team_contract2,birth_year,acceleration_type,total_stats,data,height,weight,joined,value,wage,release_clause,body_type,total_attacking,total_skill,total_movement,total_power,total_mentality,total_defending,total_goalkeeping,base_stats,name2,name3,name4,name5,playstyles,playstyles2,playstyles3,playstyles4,playstyles5,age,overall_rating,potential,best_overall,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,fk_accuracy,long_passing,ball_control,acceleration,sprint_speed,image,playstyles_+,growth,agility,heading_accuracy2,reactions,balance,shot_power,jumping,phone,foot,loan_date_end,attacking_work_rate,defensive_work_rate,real_face,team_contract4,weak_foot,skill_moves,international_reputation,image2,team_contract3,overall_rating2,short_passing2,dribbling2,ball_control2,sprint_speed2,penalties,stamina,strength,long_shots,aggression,name7,name6,name8,interceptions,attack_position
belgium,1771703984-20,https://sofifa.com/squad/2417291,V. Castellanos,West Ham United,ST,RS,2026 ~ 2030,1998,Controlled explosive,2041,237712.0,"178cm 5'10""",70kg 154lbs,"Jan 5, 2026",€25M,€81K,€49.4M,Normal (170-185),380,361,381,388.0,358.0,122,51.0,427,ST,,,,Incisive pass,Technical,,,,26,80.0,81.0,81.0,58.0,84.0,83.0,79.0,76.0,82.0,65.0,65.0,66.0,83.0,78.0,,https://cdn.sofifa.net/players/237/712/26_180.png,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belgium,1771703984-21,https://sofifa.com/squad/2417291,T. Almada,Atlético Madrid,CAM,SUB,2025 ~ 2030,2001,Explosive,2041,245371.0,"171cm 5'7""",63kg 139lbs,"Jul 23, 2025",€35M,€57K,€80.5M,Normal (170-185),336,407,419,326.0,354.0,152,47.0,424,CAM,CM,,,Incisive pass,First touch,Quick step,,,24,79.0,86.0,82.0,74.0,70.0,39.0,80.0,73.0,82.0,85.0,83.0,74.0,83.0,86.0,,https://cdn.sofifa.net/players/245/371/26_180.png,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belgium,1771703984-22,https://sofifa.com/squad/2417291,W. Benítez,Crystal Palace,GK,SUB,2025 ~ 2028,1993,Controlled,1257,215223.0,"191cm 6'3""",91kg 201lbs,"Jul 1, 2025",€8.5M,€55K,€16.2M,Normal (185+),80,103,239,257.0,137.0,54,387.0,424,GK,,,,One club player,,,,,32,79.0,79.0,79.0,12.0,14.0,13.0,28.0,13.0,19.0,20.0,17.0,27.0,20.0,38.0,,https://cdn.sofifa.net/players/215/223/26_180.png,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belgium,1771703984-23,https://sofifa.com/squad/2417291,K. Mac Allister,Union Saint-Gilloise,CB,RCB,2023 ~ 2027,1997,Controlled explosive,1896,233230.0,"175cm 5'9""",72kg 159lbs,"Jul 12, 2023",€9.5M,€23K,€14.3M,Stocky (170-185),287,282,383,361.0,305.0,237,41.0,411,CB,,,,Slide tackle,Long throw,Bruiser,,,27,77.0,77.0,77.0,56.0,44.0,76.0,73.0,38.0,62.0,39.0,42.0,63.0,76.0,82.0,,https://cdn.sofifa.net/players/233/230/26_180.png,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belgium,1771703984-24,https://sofifa.com/squad/2417291,E. Palacios,Bayer 04 Leverkusen,CM,RES,2020 ~ 2030,1998,Controlled explosive,2159,231521.0,"178cm 5'10""",69kg 152lbs,"Jan 1, 2020",€49.5M,€110K,€87.9M,Lean (170-185),360,377,367,369.0,404.0,244,38.0,452,CM,CM,,,,,,,,26,84.0,85.0,84.0,70.0,74.0,67.0,86.0,63.0,82.0,73.0,54.0,84.0,84.0,72.0,,https://cdn.sofifa.net/players/231/521/26_180.png,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belgium,1771703984-25,https://sofifa.com/squad/2417291,V. Barco,RC Strasbourg Alsace,CM,RDM,2025 ~ 2029,2004,Controlled explosive,2002,263370.0,"170cm 5'7""",66kg 146lbs,"Jul 2, 2025",€21M,€36K,€44.1M,Lean (170-),293,383,396,299.0,370.0,212,49.0,416,CM,CM,,,Technical,,,,,20,77.0,84.0,79.0,77.0,42.0,50.0,82.0,42.0,77.0,77.0,68.0,80.0,81.0,78.0,,https://cdn.sofifa.net/players/263/370/26_180.png,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belgium,1771703984-26,https://sofifa.com/squad/2417291,J. Panichelli,RC Strasbourg Alsace,ST,ST,2025 ~ 2030,2002,Controlled lengthy,1860,273748.0,"190cm 6'3""",82kg 181lbs,"Jul 28, 2025",€24M,€47K,€50.4M,Lean (185+),356,327,345,410.0,306.0,69,47.0,392,ST,,,,Press proven,,,,,22,77.0,85.0,79.0,55.0,80.0,84.0,68.0,69.0,71.0,66.0,59.0,56.0,75.0,63.0,,https://cdn.sofifa.net/players/273/748/26_180.png,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil,1771704251-1,https://sofifa.com/squad/2419073,Alisson,Liverpool,GK,GK,2018 ~ 2027,1992,Controlled lengthy,1473,212831.0,"193cm 6'4""",91kg 201lbs,"Jul 19, 2018",€51M,€140K,€94.4M,Unique,139,164,273,271.0,140.0,50,436.0,492,,GK,,,Deflector,,,,,32,89.0,89.0,89.0,17.0,13.0,,60.0,20.0,27.0,19.0,18.0,58.0,42.0,,,https://cdn.sofifa.net/players/212/831/26_180.png,Rush out +,0.0,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil,1771704251-2,https://sofifa.com/squad/2419073,Wesley,Roma,RM,LM,2025 ~ 2030,2003,Mostly explosive,2091,80170.0,"178cm 5'10""",75kg 165lbs,"Jul 28, 2025",€28.5M,€38K,€54.2M,Normal (170-185),325,357,423,360.0,352.0,227,47.0,454,LM,RM,RB,,,,,,,21,78.0,85.0,79.0,71.0,62.0,,77.0,49.0,80.0,68.0,58.0,73.0,78.0,,,https://cdn.sofifa.net/players/080/170/26_180.png,,7.0,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil,1771704251-3,https://sofifa.com/squad/2419073,Marquinhos,Paris Saint-Germain,CB,RCB,2013 ~ 2028,1994,Controlled lengthy,2072,207865.0,"183cm 6'0""",75kg 165lbs,"Jul 19, 2013",€54.5M,€145K,€100.8M,Normal (170-185),334,323,376,357.0,368.0,267,47.0,452,,CB,,,Anticipate,Aerial fortress,Injury prone,,,31,87.0,87.0,87.0,68.0,59.0,,84.0,35.0,69.0,58.0,32.0,85.0,79.0,,,https://cdn.sofifa.net/players/207/865/26_180.png,Intercept +,0.0,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil,1771704251-4,https://sofifa.com/squad/2419073,Bremer,Juventus,CB,CB,2022 ~ 2029,1997,Controlled lengthy,1946,239580.0,"187cm 6'2""",84kg 185lbs,"Jul 20, 2022",€58.5M,€185K,€99.5M,Stocky (185+),302,284,374,354.0,322.0,258,52.0,428,,CB,,,Long ball pass,Block,Aerial fortress,Bruiser,,28,86.0,86.0,86.0,51.0,49.0,,77.0,38.0,64.0,45.0,36.0,69.0,70.0,,,https://cdn.sofifa.net/players/239/580/26_180.png,,0.0,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil,1771704251-5,https://sofifa.com/squad/2419073,Gabriel,Arsenal,CB,LCB,2020 ~ 2029,1997,Controlled lengthy,1897,232580.0,"190cm 6'3""",87kg 192lbs,"Sep 1, 2020",€104M,€250K,€200.2M,Normal (185+),282,299,305,349.0,344.0,268,50.0,410,,CB,,,,,,,,27,89.0,90.0,89.0,42.0,37.0,,79.0,33.0,64.0,57.0,31.0,76.0,71.0,,,https://cdn.sofifa.net/players/232/580/26_180.png,Bruiser +,1.0,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil,1771704251-6,https://sofifa.com/squad/2419073,Casemiro,Manchester United,CDM,RDM,2022 ~ 2026,1992,Controlled,2073,200145.0,"185cm 6'1""",84kg 185lbs,"Aug 19, 2022",€13M,€95K,€24.7M,Unique,379,371,250,378.0,382.0,246,67.0,414,,CDM,,,Block,Slide tackle,Aerial fortress,Bruiser,Injury prone,33,81.0,81.0,81.0,68.0,69.0,4.0,81.0,77.0,68.0,75.0,70.0,81.0,77.0,,,https://cdn.sofifa.net/players/200/145/26_180.png,,0.0,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil,1771704251-7,https://sofifa.com/squad/2419073,Andrey Santos,Chelsea,CM,SUB,2023 ~ 2030,2004,Controlled,2124,273018.0,"180cm 5'11""",77kg 170lbs,"Jan 6, 2023",€42.5M,€86K,€89.3M,Normal (170-185),341,356,373,399.0,366.0,239,50.0,454,,CM,,,Tiki taka,Slide tackle,Aerial fortress,,,21,80.0,87.0,82.0,56.0,69.0,,82.0,53.0,77.0,68.0,52.0,79.0,80.0,,,https://cdn.sofifa.net/players/273/018/26_180.png,,7.0,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil,1771704251-8,https://sofifa.com/squad/2419073,Bruno Guimarães,Newcastle United,CM,RES,2022 ~ 2028,1997,Controlled,2235,247851.0,"182cm 6'0""",74kg 163lbs,"Jan 31, 2022",€72M,€190K,€136.8M,Lean (170-185),369,406,369,399.0,396.0,241,55.0,469,,CM,,,Incisive pass,Long ball pass,Inventive,Press proven,Relentless,27,86.0,86.0,86.0,77.0,73.0,,88.0,65.0,86.0,83.0,63.0,88.0,86.0,,,https://cdn.sofifa.net/players/247/851/26_180.png,,0.0,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil,1771704251-9,https://sofifa.com/squad/2419073,Raphinha,FC Barcelona,LM,LM,2022 ~ 2028,1996,Mostly explosive,2263,233419.0,"176cm 5'9""",68kg 150lbs,"Jul 13, 2022",€104M,€200K,€213.2M,Lean (170-185),408,425,439,409.0,391.0,141,50.0,478,LM,LM,,,Power shot,Trickster,Quick step,Relentless,,28,89.0,89.0,89.0,86.0,87.0,,85.0,76.0,88.0,85.0,84.0,80.0,88.0,,,https://cdn.sofifa.net/players/233/419/26_180.png,Rapid +,0.0,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil,1771704251-10,https://sofifa.com/squad/2419073,Igor Thiago,Brentford,ST,ST,2024 ~ 2031,2001,Controlled lengthy,1953,275771.0,"191cm 6'3""",88kg 194lbs,"Jul 1, 2024",€30.5M,€76K,€60.2M,Normal (185+),369,316,336,401.0,357.0,114,60.0,415,,ST,,,Press proven,Enforcer,,,,24,80.0,84.0,82.0,47.0,83.0,,76.0,81.0,74.0,58.0,46.0,59.0,79.0,,,https://cdn.sofifa.net/players/275/771/26_180.png,,4.0,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil,1771704251-11,https://sofifa.com/squad/2419073,Vini Jr.,Real Madrid,CAM,LS,2018 ~ 2027,2000,Mostly explosive,2055,238794.0,"176cm 5'9""",73kg 161lbs,"Jul 12, 2018",€141M,€320K,€299.6M,Lean (170-185),374,401,453,387.0,329.0,75,36.0,449,LM,LW,,,Chip shot,Gamechanger,Inventive,Rapid,First touch,24,89.0,92.0,90.0,81.0,87.0,,83.0,73.0,93.0,79.0,62.0,77.0,90.0,,,https://cdn.sofifa.net/players/238/794/26_180.png,Quick step +,3.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil,1771704251-12,https://sofifa.com/squad/2419073,Ederson,Fenerbahçe SK,GK,GK,2025 ~ 2028,1993,Controlled lengthy,1622,210257.0,"188cm 6'2""",86kg 190lbs,"Sep 2, 2025",€22.5M,€53K,€42.8M,Unique,131,202,314,286.0,220.0,52,417.0,481,,GK,,,,,,,,31,84.0,84.0,84.0,20.0,14.0,,65.0,18.0,30.0,39.0,20.0,68.0,45.0,,,https://cdn.sofifa.net/players/210/257/26_180.png,Long ball pass +,0.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil,1771704251-13,https://sofifa.com/squad/2419073,Vanderson,AS Monaco,RB,RB,2022 ~ 2028,2001,Controlled explosive,2033,263781.0,"173cm 5'8""",74kg 163lbs,"Jan 1, 2022",€15.5M,€26K,€32.6M,Normal (170-185),345,367,387,342.0,338.0,219,35.0,434,,RB,RB,,Intercept,Technical,,,,24,77.0,83.0,77.0,77.0,63.0,,76.0,61.0,78.0,74.0,72.0,67.0,76.0,,,https://cdn.sofifa.net/players/263/781/26_180.png,,6.0,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil,1771704251-14,https://sofifa.com/squad/2419073,Éder Militão,Real Madrid,CB,RES,2019 ~ 2028,1998,Controlled lengthy,2052,240130.0,"186cm 6'1""",78kg 172lbs,"Jul 1, 2019",€45M,€210K,€95.6M,Unique,315,321,375,370.0,356.0,254,61.0,445,,CB,,,Block,Intercept,Aerial fortress,,,27,84.0,86.0,85.0,69.0,48.0,,78.0,34.0,70.0,60.0,40.0,76.0,75.0,,,https://cdn.sofifa.net/players/240/130/26_180.png,,2.0,,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil,1771704251-15,https://sofifa.com/squad/2419073,Murillo,Nottingham Forest,CB,LCB,2023 ~ 2029,2002,Controlled explosive,1999,278016.0,"180cm 5'11""",75kg 165lbs,"Aug 31, 2023",€40M,€90K,€79M,Stocky (170-185),275,332,371,394.0,318.0,247,62.0,431,,CB,,,Block,Intercept,Bruiser,,,22,82.0,86.0,85.0,53.0,33.0,,75.0,35.0,69.0,57.0,56.0,77.0,73.0,,,https://cdn.sofifa.net/players/278/016/26_180.png,,4.0,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil,1771704251-16,https://sofifa.com/squad/2419073,Carlos Augusto,Inter,LB,SUB,2024 ~ 2028,1999,Controlled lengthy,2198,258648.0,"184cm 6'0""",78kg 172lbs,"Jul 1, 2024",€27.5M,€38K,€47.4M,Normal (170-185),374,385,389,393.0,366.0,238,53.0,461,LM,LB,,,Relentless,,,,,26,81.0,82.0,81.0,79.0,68.0,,78.0,73.0,80.0,77.0,74.0,74.0,80.0,,,https://cdn.sofifa.net/players/258/648/26_180.png,,1.0,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil,1771704251-17,https://sofifa.com/squad/2419073,João Gomes,Wolverhampton Wanderers,CDM,RCM,2023 ~ 2030,2001,Controlled,2036,273463.0,"176cm 5'9""",74kg 163lbs,"Jan 30, 2023",€19.5M,€53K,€38.5M,Normal (170-185),329,350,339,355.0,373.0,232,58.0,418,,CDM,,,Press proven,One club player,,,,24,78.0,83.0,79.0,64.0,64.0,,78.0,55.0,73.0,60.0,63.0,77.0,77.0,,,https://cdn.sofifa.net/players/273/463/26_180.png,,5.0,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil,1771704251-18,https://sofifa.com/squad/2419073,Éderson,Atalanta,CM,LCM,2022 ~ 2027,1999,Controlled lengthy,2152,266866.0,"183cm 6'0""",83kg 183lbs,"Jul 6, 2022",€40M,€77K,€71M,Normal (170-185),350,362,371,394.0,374.0,239,62.0,468,,CM,,,Incisive pass,Long ball pass,Intercept,Anticipate,Aerial fortress,25,82.0,85.0,85.0,70.0,72.0,,84.0,59.0,81.0,65.0,50.0,82.0,84.0,,,https://cdn.sofifa.net/players/266/866/26_180.png,,3.0,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil,1771704251-19,https://sofifa.com/squad/2419073,Joelinton,Newcastle United,CM,LCM,2019 ~ 2028,1996,Controlled lengthy,2185,223334.0,"186cm 6'1""",81kg 179lbs,"Jul 23, 2019",€25.5M,€130K,€48.5M,Stocky (185+),371,343,365,416.0,394.0,240,56.0,474,,CM,,,Press proven,Relentless,Bruiser,Enforcer,Injury prone,28,81.0,81.0,83.0,73.0,75.0,,81.0,60.0,83.0,63.0,38.0,77.0,82.0,,,https://cdn.sofifa.net/players/223/334/26_180.png,,0.0,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil,1771704251-20,https://sofifa.com/squad/2419073,Estêvão,Chelsea,CAM,SUB,2025 ~ 2033,2007,Mostly explosive,1963,76687.0,"178cm 5'10""",71kg 157lbs,"Jul 14, 2025",€37M,€71K,€77.7M,Unique,344,383,438,336.0,319.0,89,54.0,413,,RM,,,Inventive,Technical,Quick step,,,18,79.0,89.0,80.0,77.0,74.0,,75.0,66.0,84.0,78.0,71.0,69.0,81.0,,,https://cdn.sofifa.net/players/076/687/26_180.png,,10.0,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil,1771704251-21,https://sofifa.com/squad/2419073,João Pedro,Chelsea,ST,ST,2025 ~ 2033,2001,Controlled lengthy,1989,252042.0,"186cm 6'1""",82kg 181lbs,"Jul 2, 2025",€30.5M,€110K,€60.2M,Lean (185+),380,362,390,382.0,341.0,89,45.0,419,,ST,,,Press proven,,,,,23,80.0,84.0,82.0,66.0,80.0,,78.0,77.0,84.0,73.0,54.0,69.0,82.0,,,https://cdn.sofifa.net/players/252/042/26_180.png,,4.0,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil,1771704251-22,https://sofifa.com/squad/2419073,Rodrygo,Real Madrid,CAM,SUB,2019 ~ 2028,2001,Explosive,2021,243812.0,"174cm 5'9""",64kg 141lbs,"Jul 1, 2019",€57.5M,€190K,€122.2M,Lean (170-185),368,406,427,365.0,322.0,91,42.0,425,LM,LM,,,Dead ball,Gamechanger,Inventive,Technical,,24,84.0,87.0,86.0,77.0,78.0,,79.0,67.0,88.0,82.0,77.0,72.0,87.0,,,https://cdn.sofifa.net/players/243/812/26_180.png,,3.0,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil,1771704251-23,https://sofifa.com/squad/2419073,Luiz Júnior,Villarreal CF,GK,GK,2024 ~ 2030,2001,Controlled,1072,258885.0,"194cm 6'4""",88kg 194lbs,"Aug 20, 2024",€17M,€19K,€37M,Stocky (185+),65,81,191,215.0,112.0,28,380.0,410,,GK,,,Cross claimer,Deflector,,,,24,78.0,83.0,78.0,13.0,9.0,,24.0,6.0,10.0,13.0,14.0,26.0,18.0,,,https://cdn.sofifa.net/players/258/885/26_180.png,,5.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil,1771704251-24,https://sofifa.com/squad/2419073,Mauro Júnior,PSV,LWB,RDM,2017 ~ 2029,1999,Explosive,2117,241509.0,"171cm 5'7""",62kg 137lbs,"Jun 23, 2017",€25.5M,€27K,€37.6M,Lean (170-185),337,386,417,318.0,382.0,229,48.0,444,LM,LB,RB,,Injury prone,,,,,26,80.0,83.0,81.0,74.0,63.0,,77.0,65.0,79.0,76.0,73.0,74.0,84.0,,,https://cdn.sofifa.net/players/241/509/26_180.png,,3.0,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil,1771704251-25,https://sofifa.com/squad/2419073,André,Wolverhampton Wanderers,CDM,SUB,2024 ~ 2029,2001,Controlled,1974,74866.0,"177cm 5'10""",77kg 170lbs,"Aug 30, 2024",€19.5M,€53K,€38.5M,Normal (170-185),308,362,344,337.0,354.0,229,40.0,412,,CDM,,,,,,,,23,78.0,83.0,79.0,66.0,53.0,,79.0,53.0,77.0,74.0,52.0,80.0,79.0,,,https://cdn.sofifa.net/players/074/866/26_180.png,,5.0,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil,1771704251-26,https://sofifa.com/squad/2419073,Matheus Cunha,Manchester United,CAM,LM,2025 ~ 2030,1999,Controlled lengthy,2115,240243.0,"183cm 6'0""",76kg 168lbs,"Jul 1, 2025",€45M,€115K,€88.9M,Lean (170-185),391,400,389,409.0,351.0,123,52.0,445,LM,CAM,,,Dead ball,Inventive,First touch,Trickster,,26,83.0,85.0,84.0,79.0,85.0,,81.0,78.0,85.0,83.0,70.0,75.0,87.0,,,https://cdn.sofifa.net/players/240/243/26_180.png,,2.0,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canada,1771707683-1,https://sofifa.com/squad/2415717,D. St. Clair,Inter Miami,GK,GK,2026 ~ 2026,1997,Controlled,973,247228.0,"191cm 6'3""",86kg 190lbs,"Jan 4, 2026",€2.8M,€5K,€4.4M,Lean (185+),52,77,185,190.0,89.0,30,350.0,377,GK,,,,Cross claimer,,,,,28,73.0,76.0,73.0,14.0,5.0,11.0,16.0,6.0,9.0,10.0,13.0,26.0,19.0,27.0,26.0,https://cdn.sofifa.net/players/247/228/26_180.png,,3.0,39.0,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canada,1771707683-2,https://sofifa.com/squad/2415717,A. Johnston,Celtic,RB,RES,2023 ~ 2029,1998,Controlled,2038,256107.0,"180cm 5'11""",77kg 170lbs,"Jan 1, 2023",€15M,€53K,€26.6M,Normal (170-185),320,324,391,362.0,361.0,227,53.0,439,RB,RM,,,Jockey,Anticipate,Relentless,,,26,78.0,79.0,78.0,74.0,57.0,66.0,77.0,46.0,67.0,69.0,37.0,75.0,76.0,76.0,86.0,https://cdn.sofifa.net/players/256/107/26_180.png,,1.0,76.0,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canada,1771707683-3,https://sofifa.com/squad/2415717,D. Cornelius,Rangers FC,CB,RES,"Jun 30, 2026 On loan",1997,Controlled lengthy,1774,243009.0,"187cm 6'2""",86kg 190lbs,"Aug 4, 2024",€4.5M,€30K,€0,Lean (185+),253,278,315,382.0,291.0,206,49.0,380,CB,,,,,,,,,27,74.0,76.0,76.0,34.0,27.0,78.0,67.0,47.0,52.0,46.0,56.0,63.0,61.0,61.0,71.0,https://cdn.sofifa.net/players/243/009/26_180.png,,2.0,61.0,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canada,1771707683-4,https://sofifa.com/squad/2415717,M. Bombito,OGC Nice,CB,RES,2024 ~ 2028,2000,Controlled lengthy,1775,274536.0,"191cm 6'3""",81kg 179lbs,"Aug 19, 2024",€13.5M,€23K,€28.4M,Normal (185+),275,265,356,325.0,291.0,227,36.0,416,CB,,,,Block,,,,,25,76.0,83.0,78.0,51.0,55.0,77.0,70.0,22.0,65.0,43.0,29.0,59.0,69.0,92.0,93.0,https://cdn.sofifa.net/players/274/536/26_180.png,,7.0,54.0,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canada,1771707683-5,https://sofifa.com/squad/2415717,A. Davies,FC Bayern München,LM,LB,2019 ~ 2030,2000,Controlled lengthy,2175,234396.0,"185cm 6'1""",77kg 170lbs,"Jan 1, 2019",€53.5M,€74K,€92.3M,Unique,366,357,441,386.0,359.0,219,47.0,473,LB,,LM,,Rapid,Quick step,,,,24,84.0,87.0,86.0,85.0,64.0,74.0,84.0,59.0,85.0,72.0,44.0,71.0,85.0,95.0,93.0,https://cdn.sofifa.net/players/234/396/26_180.png,,3.0,84.0,,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canada,1771707683-6,https://sofifa.com/squad/2415717,T. Buchanan,Villarreal CF,RM,SUB,2025 ~ 2030,1999,Controlled lengthy,1988,246800.0,"183cm 6'0""",68kg 150lbs,"Jul 29, 2025",€6M,€32K,€12.6M,Normal (170-185),330,319,400,359.0,338.0,198,44.0,438,RM,RM,LM,,Rapid,Quick step,Relentless,,,26,75.0,75.0,75.0,67.0,65.0,68.0,72.0,58.0,78.0,55.0,47.0,63.0,76.0,91.0,90.0,https://cdn.sofifa.net/players/246/800/26_180.png,,0.0,77.0,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canada,1771707683-7,https://sofifa.com/squad/2415717,I. Koné,Sassuolo,CAM,LCM,2026 ~ 2029,2002,Controlled,1907,264207.0,"188cm 6'2""",76kg 168lbs,"Feb 2, 2026",€4.8M,€15K,€9.6M,Lean (185+),287,345,349,361.0,318.0,198,49.0,419,CM,,,,,,,,,23,73.0,79.0,75.0,56.0,59.0,52.0,74.0,46.0,76.0,72.0,48.0,72.0,77.0,74.0,81.0,https://cdn.sofifa.net/players/264/207/26_180.png,,6.0,69.0,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canada,1771707683-8,https://sofifa.com/squad/2415717,Stephen Eustáquio,FC Porto,CDM,SUB,2022 ~ 2027,1996,Controlled,2019,242380.0,"178cm 5'10""",67kg 148lbs,"Jan 24, 2022",€4.9M,€13K,€9.8M,Normal (170-185),325,360,349,362.0,360.0,221,42.0,425,CDM,,,,Jockey,Press proven,Bruiser,,,28,75.0,75.0,75.0,72.0,64.0,56.0,75.0,58.0,71.0,74.0,66.0,74.0,75.0,67.0,65.0,https://cdn.sofifa.net/players/242/380/26_180.png,,0.0,71.0,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canada,1771707683-9,https://sofifa.com/squad/2415717,J. Shaffelburg,Los Angeles FC,LM,SUB,2025 ~ 2026,1999,Mostly explosive,1770,251352.0,"178cm 5'10""",74kg 163lbs,"Dec 29, 2025",€1.2M,€4K,€1.9M,Normal (170-185),291,283,380,334.0,280.0,155,47.0,394,LM,RM,LM,,Whipped pass,Rapid,,,,25,67.0,68.0,67.0,68.0,62.0,46.0,61.0,54.0,65.0,60.0,42.0,54.0,62.0,91.0,91.0,https://cdn.sofifa.net/players/251/352/26_180.png,,1.0,80.0,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canada,1771707683-10,https://sofifa.com/squad/2415717,T. Oluwaseyi,Villarreal CF,ST,SUB,2025 ~ 2030,2000,Controlled lengthy,1712,271108.0,"188cm 6'2""",77kg 170lbs,"Sep 1, 2025",€2.2M,€21K,€4.8M,Normal (185+),301,263,371,356.0,289.0,82,50.0,374,ST,,,,,,,,,25,70.0,74.0,72.0,38.0,73.0,73.0,65.0,52.0,64.0,41.0,48.0,44.0,66.0,82.0,88.0,https://cdn.sofifa.net/players/271/108/26_180.png,,4.0,74.0,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canada,1771707683-11,https://sofifa.com/squad/2415717,P. David,Union Saint-Gilloise,ST,SUB,2024 ~ 2029,2001,Controlled lengthy,1799,73070.0,"195cm 6'5""",91kg 201lbs,"Jul 2, 2024",€11.5M,€22K,€18.1M,Stocky (185+),356,275,318,413.0,313.0,75,49.0,392,ST,,,,Precision header,Bruiser,Enforcer,,,23,76.0,81.0,78.0,52.0,83.0,78.0,71.0,72.0,70.0,30.0,56.0,47.0,72.0,72.0,72.0,https://cdn.sofifa.net/players/073/070/26_180.png,,5.0,40.0,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canada,1771707683-12,https://sofifa.com/squad/2415717,M. Crépeau,Orlando City SC,GK,GK,2026 ~ 2028,1994,Controlled,1227,213536.0,"180cm 5'11""",88kg 194lbs,"Jan 6, 2026",€750K,€3K,€1.1M,Stocky (170-185),103,135,235,227.0,141.0,44,342.0,387,GK,,,,Far throw,Footwork,,,,31,69.0,69.0,69.0,19.0,17.0,14.0,34.0,19.0,19.0,16.0,14.0,46.0,40.0,46.0,44.0,https://cdn.sofifa.net/players/213/536/26_180.png,,0.0,43.0,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
